1 | Ï╣101 | ┘ç┘åÏ»Ï│Ï® ┘êÏÁ┘ü┘èÏ® | yr= 1 | sem= 1 | dept= 1
26 | ┘ç306 | Ïº┘äÏ¬Ïó┘â┘ä ┘ü┘è Ïº┘äÏÁ┘åÏºÏ╣ÏºÏ¬ Ïº┘ä┘å┘üÏÀ┘èÏ® | yr= 3 | sem= 1 | dept= 6
27 | ┘ç401 | ÏÀÏ▒┘é Ï¬Ï¡Ï│┘è┘å ÏºÏ¿ÏºÏ▒ Ïº┘ä┘å┘üÏÀ | yr= 4 | sem= 1 | dept= 6
28 | ┘ç402 | ÏÁ┘èÏº┘åÏ® ┘êÏºÏÁ┘äÏºÏ¡ Ïº┘äÏºÏ¿ÏºÏ▒ | yr= 4 | sem= 1 | dept= 6
29 | ┘ç403 | Ï¬┘é┘è┘è┘à Ïº┘ä┘à┘âÏº┘à┘å Ïº┘ä┘å┘üÏÀ┘èÏ® | yr= 4 | sem= 1 | dept= 6
30 | ┘ç404 | ÏºÏ│Ï¬┘â┘àÏº┘ä ÏºÏ¿ÏºÏ▒ Ïº┘ä┘å┘üÏÀ | yr= 4 | sem= 1 | dept= 6
31 | ┘ç405 | Ïº┘éÏ¬ÏÁÏºÏ»┘èÏºÏ¬ ┘ç┘åÏ»Ï│Ï® ┘å┘üÏÀ | yr= 4 | sem= 1 | dept= 6
32 | Ï¬101 | Ï¿Ï▒┘àÏ¼Ï® Ï¡ÏºÏ│┘êÏ¿ | yr= 1 | sem= 1 | dept= 3
33 | Ï¬102 | Ï╣┘àÏºÏ▒Ï® Ïº┘äÏ¡ÏºÏ│┘êÏ¿ | yr= 1 | sem= 1 | dept= 3
34 | Ï¬201 | ┘åÏ©┘à ┘é┘êÏºÏ╣Ï» Ïº┘äÏ¿┘èÏº┘åÏºÏ¬ | yr= 2 | sem= 1 | dept= 3
35 | Ï¬202 | Ïº┘äÏ¿Ï▒┘àÏ¼Ï® Ïº┘ä┘àÏ▒Ïª┘èÏ® | yr= 2 | sem= 1 | dept= 3
36 | Ï¬203 | ┘êÏ│ÏºÏªÏÀ ┘àÏ¬Ï╣Ï»Ï»Ï® | yr= 2 | sem= 1 | dept= 3
37 | Ï¬204 | ┘åÏ©┘à Ïº┘äÏ¬Ï┤Ï║┘è┘ä | yr= 2 | sem= 1 | dept= 3
38 | Ï¬205 | Ï¬Ï▒Ïº┘â┘èÏ¿ Ïº┘äÏ¿┘èÏº┘åÏºÏ¬ ┘êÏº┘äÏ«┘êÏºÏ▒Ï▓┘à┘èÏºÏ¬ | yr= 2 | sem= 1 | dept= 3
39 | Ï¬206 | Ï¬Ï¡┘ä┘è┘ä Ïº┘äÏ¿┘èÏº┘åÏºÏ¬ Ï¿ÏºÏ│Ï¬Ï«Ï»Ïº┘à Excel | yr= 2 | sem= 1 | dept= 3
40 | Ï¬207 | ÏÑÏ¡ÏÁÏºÏí ┘êÏºÏ¡Ï¬┘àÏº┘äÏºÏ¬ | yr= 2 | sem= 1 | dept= 3
41 | Ï¬301 | ÏúÏ│Ï│ ┘ç┘åÏ»Ï│Ï® Ïº┘äÏ¿Ï▒┘àÏ¼┘èÏºÏ¬ | yr= 3 | sem= 1 | dept= 3
42 | Ï¬302 | Ï¬Ï¡┘ä┘è┘ä ┘àÏ¬ÏÀ┘äÏ¿ÏºÏ¬ Ïº┘äÏ¿Ï▒┘àÏ¼┘èÏºÏ¬ | yr= 3 | sem= 1 | dept= 3
43 | Ï¬303 | Ï┤Ï¿┘âÏºÏ¬ Ïº┘äÏ¡ÏºÏ│┘êÏ¿ | yr= 3 | sem= 1 | dept= 3
44 | Ï¬304 | ┘é┘êÏºÏ╣Ï» Ï¿┘èÏº┘åÏºÏ¬ ┘àÏ¬┘éÏ»┘àÏ® | yr= 3 | sem= 1 | dept= 3
45 | Ï¬305 | Ï¿Ï▒┘àÏ¼Ï® Ïº┘äÏº┘åÏ¬Ï▒┘åÏ¬ | yr= 3 | sem= 1 | dept= 3
46 | Ï¬306 | Ï¬ÏÁ┘à┘è┘à ┘à┘åÏÀ┘é┘è | yr= 3 | sem= 1 | dept= 3
47 | Ï¬401 | Ïú┘à┘å Ïº┘äÏ¿Ï▒┘àÏ¼┘èÏºÏ¬ | yr= 4 | sem= 1 | dept= 3
48 | Ï¬402 | Ïº┘äÏ¬Ï¼ÏºÏ▒Ï® Ïº┘äÏº┘ä┘âÏ¬Ï▒┘ê┘å┘èÏ® | yr= 4 | sem= 1 | dept= 3
49 | Ï¬403 | ÏºÏ«Ï¬Ï¿ÏºÏ▒ ┘êÏ¼┘êÏ»Ï® Ïº┘äÏ¿Ï▒┘àÏ¼┘èÏºÏ¬ | yr= 4 | sem= 1 | dept= 3
50 | Ï¬404 | ┘à┘êÏºÏÂ┘èÏ╣ ┘àÏ«Ï¬ÏºÏ▒Ï® | yr= 4 | sem= 1 | dept= 3
51 | Ï¬405 | ┘àÏ╣Ïº┘äÏ¼ÏºÏ¬ Ï»┘é┘è┘éÏ® | yr= 4 | sem= 1 | dept= 2
52 | Ï¬103 | Ï»┘êÏºÏªÏ▒ ┘â┘çÏ▒Ï¿ÏºÏª┘èÏ® | yr= 1 | sem= 1 | dept= 2
53 | Ï¬104 | Ï»┘êÏºÏªÏ▒ Ïº┘ä┘âÏ¬Ï▒┘ê┘å┘èÏ® | yr= 1 | sem= 1 | dept= 2
54 | Ï¬105 | ┘êÏ▒Ï┤Ï® Ïº┘ä┘âÏ¬Ï▒┘ê┘å┘èÏ® | yr= 1 | sem= 1 | dept= 2
55 | Ï¬106 | ┘àÏ¿ÏºÏ»Ïª ┘ç┘åÏ»Ï│Ï® Ïº┘ä┘âÏ¬Ï▒┘ê┘å┘èÏ® | yr= 1 | sem= 1 | dept= 2
56 | Ï¬208 | Ïº┘ä┘âÏ¬Ï▒┘ê┘åÏºÏ¬ Ï▒┘é┘à┘èÏ® | yr= 2 | sem= 1 | dept= 2
57 | Ï¬209 | ÏúÏ¼┘çÏ▓Ï® ┘é┘èÏºÏ│ ┘â┘çÏ▒Ï¿ÏºÏª┘èÏ® | yr= 2 | sem= 1 | dept= 2
58 | Ï¬210 | ┘ü┘èÏ▓┘èÏºÏí 2 | yr= 2 | sem= 1 | dept= 2
59 | Ï¬211 | ┘â┘çÏ▒┘ê┘àÏ║┘åÏºÏÀ┘èÏ│┘èÏ® | yr= 2 | sem= 1 | dept= 2
60 | Ï¬212 | Ïº┘åÏ©┘àÏ® Ï¬Ï¡┘â┘à | yr= 2 | sem= 1 | dept= 2
61 | Ï¬213 | ┘êÏ│ÏºÏªÏÀ ┘å┘é┘ä | yr= 2 | sem= 1 | dept= 2
62 | Ï¬307 | ┘åÏ©┘à ÏºÏ¬ÏÁÏº┘äÏºÏ¬ | yr= 3 | sem= 1 | dept= 2
63 | Ï¬308 | ┘ç┘êÏºÏª┘èÏºÏ¬ | yr= 3 | sem= 1 | dept= 2
64 | Ï¬309 | ┘àÏ╣Ïº┘äÏ¼Ï® ÏºÏ┤ÏºÏ▒Ï® Ï▒┘é┘à┘èÏ® | yr= 3 | sem= 1 | dept= 2
65 | Ï¬310 | ÏºÏ¬ÏÁÏº┘äÏºÏ¬ Ï▒┘é┘à┘èÏ® | yr= 3 | sem= 1 | dept= 2
66 | Ï¬311 | Ïº┘åÏ©┘àÏ® ┘à┘éÏ│┘àÏºÏ¬ ┘êÏº┘ä┘ç┘êÏºÏ¬┘ü | yr= 3 | sem= 1 | dept= 2
67 | Ï¬312 | Ïº┘åÏ©┘àÏ® Ïº┘ä┘ç┘êÏºÏ¬┘ü Ïº┘ä┘àÏ¡┘à┘ê┘äÏ® | yr= 3 | sem= 1 | dept= 2
68 | ┘ç105 | ┘à┘êÏºÏ» Ïº┘äÏº┘åÏ┤ÏºÏí | yr= 1 | sem= 1 | dept= 4
69 | ┘ç106 | ┘à┘è┘âÏº┘å┘è┘âÏº Ïº┘äÏ¼┘êÏº┘àÏ» | yr= 1 | sem= 1 | dept= 4
70 | ┘ç209 | Ï«Ï▒Ï│Ïº┘åÏ® ┘àÏ│┘äÏ¡Ï® | yr= 2 | sem= 1 | dept= 4
71 | ┘ç210 | Ïº┘åÏ┤ÏºÏí ┘àÏ¿Ïº┘å┘è | yr= 2 | sem= 1 | dept= 4
72 | ┘ç307 | ┘â┘à┘èÏºÏ¬ ┘êÏº┘ä┘à┘êÏºÏÁ┘üÏºÏ¬ | yr= 3 | sem= 1 | dept= 4
73 | ┘ç308 | ÏºÏ»ÏºÏ▒Ï® ┘àÏ┤ÏºÏ▒┘èÏ╣ ┘ç┘åÏ»Ï│┘èÏ® | yr= 3 | sem= 1 | dept= 4
74 | ┘ç107 | Ï¬ÏºÏ▒┘èÏ« Ï╣┘àÏºÏ▒Ï® | yr= 1 | sem= 1 | dept= 5
75 | ┘ç108 | ┘é┘êÏº┘å┘è┘å Ïº┘ä┘àÏ¿Ïº┘å┘è | yr= 1 | sem= 1 | dept= 5
76 | ┘ç211 | Ï¬┘åÏ│┘è┘é ┘à┘êÏº┘éÏ╣ | yr= 2 | sem= 1 | dept= 5
77 | ┘ç212 | Ï¬Ï«ÏÀ┘èÏÀ Ïº┘é┘ä┘è┘à┘è | yr= 2 | sem= 1 | dept= 5
78 | ┘ç213 | Ïº┘åÏ©┘àÏ® Ï¬┘â┘è┘ü | yr= 2 | sem= 1 | dept= 5
79 | ┘ç309 | Ï¬ÏÁ┘à┘è┘à ┘àÏ╣┘àÏºÏ▒┘è | yr= 3 | sem= 1 | dept= 5
80 | ┘ç310 | ÏºÏ│┘âÏº┘å ┘êÏ¬ÏÁ┘à┘è┘à Ï¡ÏÂÏ▒┘è | yr= 3 | sem= 1 | dept= 5
81 | Ï╣109 | Ï¿Ï▒┘àÏ¼Ï® 1 | yr= 1 | sem= 1 | dept= 7
82 | Ï╣110 | ÏúÏ│Ï│ ┘ç┘åÏ»Ï│Ï® ┘â┘çÏ▒Ï¿ÏºÏª┘èÏ® | yr= 1 | sem= 1 | dept= 7
83 | Ï╣201 | Ï▒┘èÏºÏÂÏ® 2 | yr= 2 | sem= 1 | dept= 7
84 | Ï╣202 | Ï¬ÏÀÏ¿┘è┘éÏºÏ¬ Ïº┘äÏ¡ÏºÏ│┘êÏ¿ | yr= 2 | sem= 1 | dept= 7
85 | Ï╣301 | Ï¿Ï▒┘àÏ¼Ï® 2 | yr= 3 | sem= 1 | dept= 7
